,GSE259348_DMED
THOC1,247
RP11-705O1.8,0
RP11-720L2.4,0
COLEC12,50
RP11-14P20.1,0
CETN1,0
CLUL1,4
RP11-806L2.2,1
TYMS,25
ENOSF1,289
RP11-806L2.6,2
YES1,209
RP11-769O8.1,0
RP11-769O8.2,0
RP11-672L10.6,7
RP11-672L10.3,0
ADCYAP1,0
RP11-672L10.1,0
RP11-689C9.1,0
RP11-78F17.1,0
LINC00470,0
RP11-476K15.1,0
CTD-2015H3.2,0
CTD-2015H3.1,0
RP11-161I6.2,6
METTL4,81
NDC80,154
SMCHD1,1049
RP11-703M24.5,127
EMILIN2,9
LPIN2,190
RP11-737O24.5,0
RP11-737O24.2,7
RP11-737O24.1,2
MYOM1,806
RP13-270P17.2,7
RP13-270P17.3,8
MYL12A,1145
RP13-270P17.1,1
MYL12B,1613
RP11-838N2.5,0
RP11-838N2.3,0
IGLJCOR18,0
TGIF1,75
GAPLINC,4
DLGAP1,21
DLGAP1-AS1,92
DLGAP1-AS2,8
RP11-874J12.4,0
DLGAP1-AS3,0
DLGAP1-AS4,0
DLGAP1-AS5,0
RP11-172F10.1,0
RP11-92G19.2,0
C18orf42,0
RP11-190I17.2,0
RP11-835E18.5,3
LINC00526,20
LINC00667,212
ZBTB14,41
CTD-3096M3.1,0
CTD-3096M3.2,0
EPB41L3,16
RP11-286N3.1,1
RP11-286N3.2,1
MIR3976HG,1
TMEM200C,7
RP11-945C19.4,2
L3MBTL4,734
RP11-793A3.1,0
RP11-793A3.2,66
L3MBTL4-AS1,2
CTD-2124B20.2,0
LINC01387,0
RP11-91I8.1,0
RP11-91I8.3,1
ARHGAP28,70
RP11-146G7.2,0
LINC00668,0
LAMA1,5
RP11-781P6.1,0
RP11-76K13.3,0
LRRC30,0
PTPRM,533
RP11-678G15.2,3
RP11-789C17.3,0
RP11-789C17.5,0
RAB12,249
RP11-661O13.1,0
GACAT2,2
MTCL1,17
NDUFV2,753
RP11-143J12.3,12
NDUFV2-AS1,63
ANKRD12,1980
RP11-888D10.3,33
TWSG1,655
RP11-61L19.2,0
RALBP1,576
PPP4R1,272
RP11-881L2.1,0
PPP4R1-AS1,4
RAB31,692
TXNDC2,0
RP11-474N24.6,0
VAPA,1228
RP11-419J16.1,0
RP11-138E9.2,0
RP11-243E13.2,0
LINC01254,0
APCDD1,260
NAPG,368
RP11-883A18.3,0
RP11-856M7.6,1
RP11-856M7.4,0
RP11-856M7.1,0
PIEZO2,2
RP11-856M7.2,0
RP11-513M1.1,0
RP11-128P17.2,0
RP11-128P17.4,0
RP11-128P17.3,0
RP11-128P17.1,0
LINC01255,0
RP11-677O4.6,0
RP11-677O4.2,0
GNAL,246
RP11-78A19.2,0
CHMP1B,176
RP11-78A19.3,1
RP11-78A19.4,1
MPPE1,99
RP11-820I16.4,12
RP11-820I16.1,5
IMPA2,109
RP11-820I16.3,0
RP11-703I16.1,0
RP11-815J4.1,0
ANKRD62,1
RP11-64C12.4,0
RP11-64C12.6,0
CIDEA,0
RP11-64C12.8,0
TUBB6,577
AFG3L2,171
PRELID3A,37
RP11-861E21.1,0
RP11-861E21.2,5
SPIRE1,344
PSMG2,451
CEP76,54
RP11-973H7.5,0
RP11-973H7.4,0
RP11-973H7.1,0
PTPN2,232
SEH1L,116
RP11-773H22.4,4
CEP192,212
RP11-794M8.2,0
RP11-794M8.1,0
LDLRAD4,622
RP11-756J15.3,0
RP11-691H4.3,1
LDLRAD4-AS1,2
RP11-691H4.4,4
RP11-53B2.5,0
RP11-53B2.3,10
RP11-53B2.4,0
RP11-701H16.4,0
FAM210A,81
RNMT,352
MC5R,0
MC2R,0
ZNF519,61
RP11-411B10.2,0
RP11-411B10.3,0
RP11-757O6.1,1
CYP4F35P,0
CXADRP3,0
POTEC,0
ANKRD30B,1
RP11-1157N2__B.2,1
RP11-527H14.6,0
RP11-527H14.4,0
LINC01443,0
LINC01444,0
RP11-527H14.1,0
AP005242.1,0
RP11-805F19.2,0
RP11-805F19.1,0
ROCK1,2719
RP11-699A5.2,0
GREB1L,68
RP11-296E23.1,8
ESCO1,247
SNRPD1,362
ABHD3,256
RP11-13N13.6,3
MIB1,444
MIR133A1HG,38
RP11-268I9.3,1
RP11-595B24.1,0
RP11-595B24.2,0
GATA6-AS1,3
GATA6,77
RP11-627G18.2,0
RP11-627G18.1,1
RP11-627G18.4,3
RP11-535A5.1,3
CTAGE1,1
RP11-739L10.1,5
RP11-370A5.1,0
RBBP8,73
CABLES1,11
TMEM241,71
RP11-17J14.2,0
RIOK3,313
C18orf8,97
NPC1,274
ANKRD29,612
LAMA3,1251
RP11-403A21.1,5
TTC39C,48
TTC39C-AS1,0
RP11-403A21.3,2
RP11-799B12.2,1
CABYR,24
RP11-799B12.4,2
OSBPL1A,640
RP11-621L6.2,0
RP11-621L6.3,0
IMPACT,121
HRH4,2
RP11-178F10.2,0
RP11-178F10.3,0
RP11-449D8.1,1
RP11-449D8.2,0
RP11-449D8.5,2
RP11-958F21.1,0
RP11-958F21.3,0
ZNF521,249
CTD-2006O16.2,0
SS18,323
PSMA8,1
TAF4B,207
LINC01543,0
KCTD1,87
AQP4-AS1,2
PCAT18,0
RP11-17A19.2,0
RP11-552O4.1,0
AQP4,2
CHST9,0
RP11-57J16.1,0
RP11-739N10.1,0
RP11-26N15.2,0
RP11-612A1.1,0
CDH2,10
AC015933.2,0
RP11-510D21.1,0
CTD-2515C13.2,0
RP11-784B15.1,0
RP11-675P14.1,0
RP11-25I11.1,0
DSC3,0
DSC2,0
DSCAS,0
DSC1,0
RP11-408H20.3,0
DSG1,0
DSG1-AS1,0
DSG4,0
DSG3,0
RP11-650P15.1,0
DSG2,0
DSG2-AS1,0
TTR,0
B4GALT6,4
RP11-549B18.1,1
SLC25A52,0
TRAPPC8,199
RP11-210K20.2,3
RP11-326K13.4,1
RNF125,6
RP11-53I6.3,10
RNF138,166
RP11-53I6.4,4
GAREM1,316
MEP1B,0
RP11-344B2.2,0
AC021224.1,0
RP11-386P4.1,0
KLHL14,0
AC012123.1,0
RP11-746B8.1,0
CCDC178,5
RP11-680N20.1,0
RP11-258B16.1,0
ASXL3,56
NOL4,8
RP11-379L18.1,0
RP11-379L18.3,0
DTNA,1107
RP11-138H11.1,6
RP11-96A15.1,1
MAPRE2,1339
RP11-294N21.3,3
ZNF397,183
ZSCAN30,99
RP11-158H5.8,8
RP11-158H5.7,0
RP11-54G14.1,1
ZNF24,355
ZNF396,16
RP11-322E11.2,1
RP11-322E11.5,0
RP11-322E11.6,1
INO80C,38
GALNT1,295
RP11-873E20.1,1
RP11-905K4.1,1
C18orf21,58
RPRD1A,234
SLC39A6,161
ELP2,233
RP11-49I11.1,3
MOCOS,23
FHOD3,104
TPGS2,189
KIAA1328,717
RP11-58G13.1,34
RP11-95O2.1,0
CELF4,6
RP11-95O2.5,10
RP11-797E24.3,0
RP11-687D19.1,0
RP11-244M2.1,2
RP11-636O21.1,0
LINC01477,0
KC6,3
PIK3C3,281
LINC00907,10
RIT2,1
SYT4,0
LINC01478,1
RP11-456K23.1,6
SETBP1,1485
RP11-846C15.2,0
SLC14A2,38
SLC14A2-AS1,13
RP11-116O18.3,5
SLC14A1,84
SIGLEC15,0
EPG5,143
PSTPIP2,154
ATP5A1,851
HAUS1,81
C18orf25,118
RNF165,2
LOXHD1,0
ST8SIA5,0
RP11-687F6.5,0
PIAS2,170
KATNAL2,26
TCEB3CL2,0
TCEB3CL,0
RP11-49K24.9,0
TCEB3C,0
TCEB3B,0
RP11-49K24.4,3
RP11-49K24.8,0
HDHD2,84
RP11-49K24.6,1
IER3IP1,181
SKOR2,0
CTD-2130O13.1,1
RP11-157P23.2,0
SMAD2,340
RP11-380M21.4,0
ZBTB7C,1045
CTIF,185
RP11-426J5.2,5
RP11-484L8.1,1
SMAD7,71
RP11-1058N17.1,0
RP11-15F12.1,3
DYM,558
RP11-15F12.3,3
RP11-30L3.2,8
C18orf32,111
RPL17-C18orf32,7
MIR1539,0
RPL17,344
RP11-110H1.8,0
LIPG,1
RP11-813F20.2,0
ACAA2,156
RP11-886H22.1,0
SNHG22,46
MYO5B,6
CFAP53,20
MBD1,104
CXXC1,90
RP11-1030E3.1,0
SKA1,0
MAPK4,26
MRO,0
ME2,172
ELAC1,36
RP11-729L2.2,28
SMAD4,213
MEX3C,83
RP11-267C16.1,1
RP11-25O3.1,0
DCC,40
AC011155.1,0
RP11-671P2.1,9
RP11-202D1.3,0
RP11-202D1.2,0
MBD2,358
RP11-850A17.1,3
POLI,101
STARD6,3
C18orf54,9
DYNAP,0
RAB27B,1
RP11-99A1.2,0
RP11-839G9.1,0
CCDC68,4
CTD-2171N6.1,0
TCF4,1093
TCF4-AS1,11
TCF4-AS2,0
RP11-397A16.1,0
LINC01415,0
RP11-397A16.3,0
LINC01416,0
CTD-2008L17.1,0
CTD-2008L17.2,0
RP11-456O19.2,0
RP11-456O19.5,0
LINC01539,0
RP11-456O19.3,0
TXNL1,429
WDR7,372
RP11-383D22.1,0
LINC-ROR,1
CTD-2526M8.3,0
BOD1L2,0
CTD-2526M8.2,0
ST8SIA3,0
RP11-714M23.2,0
ONECUT2,1
FECH,42
RP11-706P11.2,0
NARS,425
RP11-35G9.3,17
RP11-35G9.5,132
ATP8B1,546
RP11-693L9.2,0
NEDD4L,6
RP11-718I15.1,0
RP11-845C23.3,0
RP11-1151B14.2,0
RP11-1151B14.3,0
RP11-1151B14.1,0
ALPK2,0
RP11-1151B14.4,0
RP11-126O1.2,0
RP11-126O1.6,0
RP11-126O1.5,1
MALT1,128
RP11-126O1.4,13
RP11-108P20.3,0
RP11-108P20.2,0
RP11-108P20.4,0
ZNF532,300
RP11-685A21.1,0
SEC11C,196
GRP,1
RAX,0
CPLX4,0
LMAN1,539
RP11-27G24.1,0
CCBE1,0
RP11-27G24.3,0
RP11-760L24.1,0
RP11-2N1.1,0
RP11-2N1.2,0
RP11-2N1.3,0
PMAIP1,16
RP11-866E20.3,0
RP11-795H16.3,0
RP11-396N11.1,0
MC4R,0
RP11-325K19.1,6
CDH20,36
RP11-879F14.3,0
RP11-879F14.2,6
RP11-879F14.1,36
RP11-1096D5.2,0
LINC01544,1
RNF152,525
PIGN,174
KIAA1468,249
RP11-173A16.1,0
TNFRSF11A,3
RP11-640A1.3,0
ZCCHC2,196
RP11-120K19.4,0
PHLPP1,399
BCL2,1057
RP11-299P2.2,2
KDSR,405
RP11-635N19.1,34
VPS4B,407
SERPINB5,0
SERPINB12,0
SERPINB13,0
SERPINB4,0
SERPINB3,0
SERPINB11,0
SERPINB7,0
SERPINB2,0
SERPINB10,1
HMSD,0
SERPINB8,17
LINC00305,0
RP11-146N18.1,0
AC100848.1,0
LINC01538,0
AC007948.1,0
AC007631.1,0
RP11-453M23.1,1
RP11-775G23.1,0
CDH7,0
RP11-389J22.3,0
CDH19,2
CTD-2541J13.1,0
DSEL,92
CTD-2541J13.2,0
RP11-638L3.1,15
RP11-28O3.2,0
RP11-638L3.3,0
RP11-659F24.1,0
RP11-526H11.1,0
RP11-421N8.2,0
RP11-128D14.1,0
TMX3,174
CCDC102B,500
RP11-106E15.1,0
RP11-861L17.3,0
RP11-674P19.2,5
RP11-17E3.1,0
DOK6,228
RP11-465I4.2,9
RP11-543H23.2,0
CD226,25
RTTN,183
SOCS6,126
RP11-41O4.1,3
RP11-484N16.1,0
RP11-41O4.2,0
GTSCR1,0
RP11-384E22.1,0
RP11-47G4.2,0
LINC01541,0
RP11-723G8.2,0
RP11-723G8.1,1
RP11-736G13.1,0
CBLN2,9
NETO1,0
RP11-676J15.1,0
RP11-126K15.1,0
RP11-25L3.3,6
FBXO15,16
TIMM21,75
RP11-669I1.1,0
CYB5A,388
C18orf63,0
RP11-231E4.2,0
FAM69C,47
CNDP2,48
CNDP1,2
RP11-231E4.3,0
LINC00909,73
ZNF407,399
RP11-405M12.3,0
RP11-405M12.4,0
ZADH2,71
TSHZ1,106
RP11-321M21.4,0
RP11-321M21.3,0
SMIM21,0
RP11-321M21.1,0
RP11-704C2.1,0
RP11-173L6.1,0
RP11-357H3.1,0
RP11-94B19.6,0
RP11-94B19.1,0
RP11-94B19.5,0
RP11-94B19.2,1
RP11-94B19.7,0
RP11-94B19.3,0
RP11-94B19.4,0
ZNF516,128
RP11-504I13.3,6
RP11-17M16.2,5
C18orf65,0
LINC00908,17
LINC00683,0
RP11-111H3.3,1
AC034110.1,0
RP11-162A12.2,18
RP11-162A12.4,3
ZNF236,114
RP11-862L9.3,2
MBP,59
RP11-4B16.3,0
RP11-4B16.4,0
RP11-751H17.1,0
GALR1,0
RP11-176N18.2,0
RP11-63N3.1,0
LINC01029,0
RP11-671C19.2,0
RP11-100K18.1,0
RP11-451L19.1,0
RP11-123I22.1,0
RP11-715C4.1,0
CTD-2382H12.2,0
CTD-2382H12.1,0
RP11-849I19.1,0
SALL3,0
ATP9B,595
RP11-1136J12.1,0
RP11-800A18.4,0
NFATC1,191
RP11-196B3.3,0
RP11-567M16.2,1
RP11-567M16.3,3
RP11-567M16.6,19
CTDP1,31
RP11-567M16.5,0
RP11-154H12.2,0
RP11-154H12.3,0
KCNG2,4
RP11-248M19.1,0
PQLC1,179
HSBP1L1,29
TXNL4A,341
RP11-795F19.5,7
RBFA,147
RP11-795F19.1,4
ADNP2,122
PARD6G-AS1,40
PARD6G,59
AC139100.3,2
DEFB125,0
DEFB126,0
DEFB127,0
DEFB128,0
DEFB129,0
DEFB132,0
RP5-1103G7.10,0
C20orf96,37
ZCCHC3,62
NRSN2-AS1,58
SOX12,28
NRSN2,65
TRIB3,10
RBCK1,257
TBC1D20,143
CSNK2A1,396
TCF15,292
SRXN1,0
RP5-850E9.3,0
SCRT2,0
SLC52A3,0
FAM110A,26
ANGPT4,186
RSPO4,2
PSMF1,377
RP4-545L17.11,6
TMEM74B,25
C20orf202,2
RAD21L1,0
SNPH,8
SDCBP2,10
RP11-314N13.10,71
SDCBP2-AS1,47
RP11-314N13.3,1
FKBP1A,472
NSFL1C,224
SIRPB2,0
SIRPD,0
RP4-576H24.4,0
SIRPB1,0
SIRPG,0
SIRPG-AS1,0
RP5-968J1.1,0
RP5-858L17.1,4
SIRPA,15
RP4-684O24.5,0
PDYN,0
STK35,73
RP11-128M1.1,0
TGM3,0
TGM6,0
SNRPB,604
RP4-734P14.4,20
ZNF343,35
TMC2,0
NOP56,364
IDH3B,241
RP4-686C3.7,2
EBF4,93
CPXM1,0
RP5-860F19.8,0
C20orf141,0
TMEM239,0
PCED1A,59
VPS16,63
PTPRA,754
GNRH2,0
MRPS26,285
OXT,0
AVP,0
UBOX5-AS1,8
UBOX5,35
FASTKD5,31
RP5-1187M17.10,18
DDRGK1,235
ITPA,167
SLC4A11,8
RP4-794I6.4,11
C20orf194,601
ATRN,186
GFRA4,0
ADAM33,299
SIGLEC1,2
HSPA12B,3
C20orf27,307
SPEF1,1
CENPB,170
CDC25B,48
RP5-1009E24.8,1
AP5S1,24
MAVS,120
RP11-119B16.2,17
PANK2,189
RP4-681N20.5,3
RNF24,255
RP11-352D3.2,0
SMOX,22
LINC01433,1
ADRA1D,125
RP11-307O10.1,0
RP5-1164C1.2,1
PRNP,478
PRND,0
PRNT,0
RP5-1068H6.6,0
RASSF2,42
SLC23A2,173
RP5-1116H23.6,0
RP5-1116H23.5,1
RP5-1116H23.4,0
RP5-1116H23.3,1
TMEM230,709
PCNA,94
CDS2,447
PROKR2,0
RP5-828H9.4,0
LINC00658,3
RP5-828H9.1,0
LINC00654,5
RP5-1022P6.7,0
RP5-1022P6.4,0
RP5-1022P6.5,10
GPCPD1,608
C20orf196,57
CHGB,3
TRMT6,56
MCM8,37
MCM8-AS1,1
RP5-967N21.11,0
CRLS1,121
LRRN4,1
RP5-1056H1.2,0
FERMT1,5
CASC20,0
RP5-859D4.3,0
BMP2,150
RP4-764O22.1,0
LINC01428,1
RP11-19D2.1,0
RP11-19D2.2,0
RP5-988G17.1,0
HAO1,0
TMX4,428
RP5-971N18.3,1
PLCB1,1669
PLCB4,1668
LAMP5-AS1,0
LAMP5,3
PAK7,1
RP5-986I17.2,0
RP5-839B4.8,0
ANKEF1,5
SNAP25-AS1,16
RP11-416N4.4,0
RP11-416N4.1,0
SNAP25,49
MKKS,269
SLX4IP,112
JAG1,1573
RP11-103J8.1,75
RP1-278O22.1,3
RP1-278O22.2,4
RP4-697P8.3,0
RP11-103J8.2,4
C20orf187,0
RP4-734C18.1,0
RP5-1128N12.3,0
RP11-268G13.1,0
LINC00687,0
BTBD3,159
RP4-742J24.2,2
RP4-796I8.1,0
RP11-102J14.1,0
RP5-1069C8.2,1
RP5-1069C8.3,0
RP11-157E14.1,0
SPTLC3,23
ISM1,81
ISM1-AS1,0
RP5-1077I2.3,0
RP4-585I14.3,0
TASP1,651
ESF1,431
NDUFAF5,118
SEL1L2,12
MACROD2,3077
FLRT3,23
MACROD2-AS1,7
RP5-974N19.1,2
RP11-388K2.1,1
KIF16B,242
AL049794.1,3
RP4-777L9.2,0
RP4-777L9.3,0
SNRPB2,514
OTOR,0
RP5-1195D24.1,0
PCSK2,2
BFSP1,22
DSTN,18816
RRBP1,520
BANF2,0
RP5-905G11.3,0
SNX5,169
OVOL2,10
MGME1,93
RP4-726N1.2,0
PET117,45
CSRP2BP,27
ZNF133,114
RP4-568F9.3,0
RP4-568F9.6,0
LINC00851,0
DZANK1,45
POLR3F,46
RBBP9,45
SEC23B,70
LINC00493,482
DTD1,199
RP11-379J5.5,8
LINC00652,2
RP5-1068E13.7,11
SCP2D1,0
RP11-97N19.3,3
SLC24A3,110
RP11-97N19.2,0
RP5-1027G4.3,1
RP1-122P22.4,1
RP1-122P22.2,54
RP5-999L4.2,0
RIN2,183
NAA20,359
CRNKL1,171
CFAP61,5
RP5-1002M8.4,0
RP5-1178H5.2,0
RP5-1096J16.1,0
INSM1,1
RALGAPA2,213
RP5-1177M21.1,0
LINC00237,0
KIZ,236
RP5-872K7.7,0
KIZ-AS1,37
RP1-198K11.5,8
XRN2,511
NKX2-4,0
RP11-227D2.3,0
RP5-984P4.6,0
NKX2-2,0
NKX2-2-AS1,0
RP5-984P4.4,0
RP1-167O22.1,0
RP5-1065O2.4,0
PAX1,0
RP5-1185K9.1,0
LINC01432,0
RP5-1097P24.1,0
LINC01427,1
RP5-1004I9.1,0
LINC00261,0
FOXA2,0
LINC01384,0
RP11-359G22.2,0
RP11-359G22.4,1
RP4-753D10.5,0
SSTR4,0
THBD,70
CD93,80
LINC00656,0
RP4-737E23.7,0
RP4-737E23.2,3
RP5-851M4.1,1
RP3-322G13.7,6
NXT1,149
LINC01431,8
GZF1,60
NAPB,78
CSTL1,0
CST11,0
RP3-333B15.5,0
RP3-333B15.4,0
RP3-333B15.6,0
CST8,0
CST9L,0
CST9,0
CST3,6469
RP11-218C14.8,1
RP11-218C14.5,1
CST4,0
CST1,0
XXyac-YX60D10.1,0
CST2,0
CST5,0
GGTLC1,0
RP5-1100I6.1,0
FLJ33581,0
RP4-564O4.1,0
SYNDIG1,43
RP11-526K17.2,0
RP5-860P4.2,0
RP4-568C11.4,0
CST7,8
APMAP,163
ACSS1,101
RP5-1025A1.3,0
VSX1,1
RP4-738P15.1,0
ENTPD6,35
RP5-965G21.3,6
RP5-965G21.4,0
PYGB,227
RP5-965G21.5,0
RP5-965G21.6,3
ABHD12,147
GINS1,6
NINL,88
NANP,12
ZNF337-AS1,24
ZNF337,106
RP4-694B14.8,1
RP13-401N8.1,20
FAM182B,68
RP4-760C5.5,0
RP4-760C5.3,0
RP13-329D4.3,0
RP3-410C9.2,0
LINC01597,7
LINC01598,0
DEFB115,0
DEFB116,0
DEFB118,0
DEFB119,0
DEFB121,0
DEFB123,0
DEFB124,10
REM1,164
LINC00028,7
HM13,256
HM13-AS1,0
RP3-324O17.8,0
ID1,319
COX4I2,855
BCL2L1,176
RP11-243J16.7,19
ABALON,0
TPX2,18
MYLK2,1
FOXS1,91
DUSP15,18
TTLL9,2
PDRG1,61
XKR7,0
CCM2L,9
RP1-310O13.7,0
HCK,4
TM9SF4,197
PLAGL2,35
POFUT1,62
KIF3B,105
RP11-358N2.2,0
ASXL1,1232
NOL4L,24
RP5-1184F4.5,0
RP5-1184F4.7,0
RP11-410N8.3,0
RP11-410N8.4,0
RP11-410N8.1,0
C20orf203,3
COMMD7,261
DNMT3B,6
MAPRE1,292
RP5-1085F17.4,49
RP5-1085F17.3,22
EFCAB8,2
SUN5,0
BPIFB2,0
BPIFB6,0
BPIFB3,0
BPIFB4,0
BPIFA2,0
RP11-49G10.3,0
BPIFA3,0
BPIFA1,0
BPIFB1,0
CDK5RAP1,93
SNTA1,293
CBFA2T2,335
RP1-63M2.7,1
NECAB3,98
C20orf144,0
ACTL10,4
RP1-63M2.5,0
E2F1,7
PXMP4,60
RP4-553F4.2,2
ZNF341,17
ZNF341-AS1,3
CHMP4B,399
RALY-AS1,10
RP5-1125A11.7,0
RP5-1125A11.6,0
RALY,867
RP5-1125A11.4,9
EIF2S2,658
ASIP,15
AHCY,118
ITCH,502
ITCH-AS1,4
DYNLRB1,1062
MAP1LC3A,474
PIGU,113
NCOA6,310
TP53INP2,166
GGT7,156
ACSS2,94
GSS,57
MYH7B,3
TRPC4AP,361
EDEM2,82
PROCR,609
RP11-42O4.2,0
MMP24-AS1,503
MMP24,92
RP4-614O4.11,0
EIF6,368
FAM83C-AS1,1
FAM83C,0
UQCC1,115
GDF5OS,1
GDF5,1
CEP250,59
RP3-477O4.14,8
C20orf173,0
ERGIC3,266
SPAG4,6
CPNE1,198
RP1-309K20.6,1
RBM12,88
NFS1,54
ROMO1,638
RBM39,1613
PHF20,490
SCAND1,447
CNBD2,59
LINC00657,845
RP4-550H1.7,0
RP4-550H1.4,0
RP4-550H1.5,1
EPB41L1,137
RP11-234K24.3,0
RP11-234K24.6,0
AAR2,58
DLGAP4,428
DLGAP4-AS1,78
MYL9,21461
TGIF2,39
TGIF2-C20orf24,4
C20orf24,94
SLA2,8
NDRG3,212
DSN1,38
SOGA1,215
TLDC2,6
SAMHD1,680
RBL1,79
RP4-621N11.2,0
MROH8,67
RPN2,373
GHRH,0
MANBAL,190
SRC,44
BLCAP,166
NNAT,4
RP11-425M5.8,0
LINC00489,0
RP4-640H8.2,1
CTNNBL1,400
VSTM2L,8
TTI1,45
RPRD1B,161
RP5-1057B20.3,0
TGM2,297
KIAA1755,22
BPI,17
CTD-2308N23.2,0
LBP,1
RP4-564F22.6,0
RP4-564F22.5,3
RP4-564F22.7,2
RALGAPB,218
ADIG,0
ARHGAP40,0
SLC32A1,0
ACTR5,36
PPP1R16B,4
FAM83D,25
RP4-616B8.5,0
RP4-616B8.4,1
DHX35,75
RP4-705O1.1,0
RP5-1031J8.1,0
LINC01370,0
RP11-101E14.3,0
RP1-191L6.2,0
MAFB,400
RP4-644L1.2,0
TOP1,1121
PLCG1-AS1,20
PLCG1,68
ZHX3,662
LPIN3,21
EMILIN3,2
CHD6,598
RP5-1121H13.4,0
RP5-1121H13.3,0
PTPRT,5
RP1-232N11.2,0
RP4-753D4.2,0
RP1-269M15.3,0
SRSF6,255
L3MBTL1,32
RP1-138B7.6,9
RP1-138B7.5,0
SGK2,0
RP1-138B7.7,4
IFT52,173
MYBL2,0
GTSF1L,0
RP5-1030M6.3,0
TOX2,493
JPH2,373
OSER1,200
OSER1-AS1,67
GDAP1L1,8
FITM2,31
R3HDML,0
RP5-881L22.5,0
HNF4A,2
HNF4A-AS1,1
RP5-881L22.6,0
LINC01430,0
LINC01620,1
TTPAL,40
SERINC3,509
PKIG,669
ADA,46
LINC01260,7
KCNK15-AS1,4
WISP2,130
KCNK15,7
RIMS4,4
YWHAB,1641
PABPC1L,15
TOMM34,22
STK4-AS1,0
STK4,232
KCNS1,0
WFDC5,0
WFDC12,0
PI3,0
SEMG1,0
SEMG2,0
SLPI,60
MATN4,1
RBPJL,1
SDC4,116
SYS1,129
SYS1-DBNDD2,31
TP53TG5,73
DBNDD2,3
PIGT,205
RP3-453C12.15,9
RP3-461P17.10,2
WFDC2,188
RP3-461P17.9,0
SPINT3,0
WFDC6,0
EPPIN-WFDC6,0
EPPIN,0
WFDC8,0
WFDC9,0
WFDC10A,0
WFDC11,0
WFDC10B,3
WFDC13,0
SPINT4,0
WFDC3,11
DNTTIP1,134
UBE2C,1
TNNC2,28
SNX21,218
ACOT8,59
ZSWIM3,25
ZSWIM1,7
SPATA25,0
NEURL2,40
CTSA,196
RP3-337O18.9,0
PLTP,218
PCIF1,87
ZNF335,98
MMP9,0
RP11-465L10.10,0
SLC12A5,1
NCOA5,145
CD40,158
RP5-998H6.2,0
CDH22,1
SLC35C2,125
RP11-394O2.3,17
ELMO2,72
ZNF334,22
OCSTAMP,0
SLC13A3,33
TP53RK,108
RP1-28H20.3,4
SLC2A10,43
EYA2,79
RP11-323C15.2,0
ZMYND8,307
RP4-569M23.5,1
RP4-569M23.2,0
RP1-148H17.1,4
NCOA3,707
SULF2,70
CTD-2653D5.1,0
RP11-347D21.1,0
RP11-347D21.2,0
LINC01522,0
LINC01523,0
RP11-321P16.1,0
LINC00494,0
RP1-66N13.1,0
RP1-66N13.4,0
RP5-991B18.1,0
RP5-991B18.2,0
PREX1,127
RP5-906C1.1,5
ARFGEF2,306
CSE1L-AS1,0
CSE1L,155
STAU1,620
DDX27,237
ZNFX1,283
ZFAS1,1389
KCNB1,92
PTGIS,47
B4GALT5,200
SLC9A8,90
SPATA2,28
RNF114,225
SNAI1,45
TRERNA1,0
TMEM189-UBE2V1,0
UBE2V1,94
TMEM189,51
RP11-112L6.3,0
RP11-112L6.2,0
LINC01273,35
CEBPB-AS1,22
CEBPB,1368
LINC01272,1
LINC01270,6
LINC01271,5
PTPN1,490
RP4-530I15.9,2
FAM65C,49
RP4-530I15.6,4
PARD6B,80
BCAS4,135
ADNP,546
ADNP-AS1,11
DPM1,212
MOCS3,19
RP5-955M13.4,0
KCNG1,0
NFATC2,216
ATP9A,135
SALL4,1
LINC01429,0
ZFP64,89
LINC01524,2
RP4-583K8.1,0
RP5-1022J11.2,0
RP4-715N11.2,0
RP11-80K6.2,0
TSHZ2,77
RP11-15M15.1,1
RP11-15M15.2,0
RP4-678D15.1,8
RP4-669H2.1,0
RP5-823G15.5,0
RP4-724E16.2,5
ZNF217,190
AC005808.3,1
AC006076.1,0
BCAS1,4
AC005220.3,0
CYP24A1,0
PFDN4,202
AL133335.1,0
DOK5,30
LINC01440,0
LINC01441,0
RP5-837G17.1,0
CBLN4,4
MC3R,0
RP11-380D15.3,0
FAM210B,244
AURKA,23
CSTF1,41
CASS4,9
RTFDC1,553
GCNT7,6
FAM209A,3
FAM209B,2
RP5-843L14.1,0
TFAP2C,4
RP5-897D18.1,0
RP11-560A15.4,0
RP11-560A15.3,0
BMP7,1
BMP7-AS1,0
RP4-813D12.3,0
SPO11,0
RAE1,95
MTRNR2L3,5
RP4-800J21.3,2
RBM38,23
CTCFL,0
PCK1,16
RP4-718J7.4,0
ZBP1,0
PMEPA1,1388
NKILA,12
RP13-379L11.2,0
RP13-379L11.4,0
RP13-379L11.1,0
C20orf85,0
ANKRD60,0
RAB22A,266
VAPB,214
APCDD1L,2
RP5-907D15.3,0
RP5-907D15.4,0
STX16,180
STX16-NPEPL1,9
NPEPL1,44
RP4-806M20.5,0
RP4-806M20.4,0
GNAS-AS1,4
RP4-806M20.3,0
GNAS,5727
RP1-309F20.3,4
RP1-309F20.4,0
NELFCD,178
CTSZ,484
TUBB1,0
ATP5E,2709
PRELID3B,84
RP3-492J12.2,0
ZNF831,0
EDN3,0
RP4-614C15.2,0
RP4-614C15.3,0
RP11-164D18.2,0
PHACTR3,7
RP4-719C8.1,0
SYCP2,44
FAM217B,189
PPP1R3D,36
